timestamp,raw_gesture,stable_gesture,command,throttle,vx,vy,vz,yaw_rate,altitude,fps
1776435857.964,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.51,64.8
1776435857.981,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.7
1776435857.995,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.8
1776435858.011,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.8
1776435858.027,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.7
1776435858.042,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.8
1776435858.058,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.8
1776435858.074,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.9
1776435858.088,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.9
1776435858.103,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,65.2
1776435858.119,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,65.0
1776435858.134,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,65.0
1776435858.149,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,65.0
1776435858.165,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.9
1776435858.181,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.9
1776435858.197,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.9
1776435858.212,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.9
1776435858.228,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,65.0
1776435858.243,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.9
