timestamp,raw_gesture,stable_gesture,stable_ratio,current_intent,candidate_intent,fps
2026-04-24 18:17:56,OPEN_PALM,OPEN_PALM,0.75,HOVER,HOVER,15.6
2026-04-24 18:17:56,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,14.5
2026-04-24 18:17:56,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,14.3
2026-04-24 18:17:56,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,14.1
2026-04-24 18:17:56,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,13.8
2026-04-24 18:17:56,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,13.6
2026-04-24 18:17:56,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,13.3
2026-04-24 18:17:56,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,13.1
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.1
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.0
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.1
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.4
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.4
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.4
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.3
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.4
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.3
2026-04-24 18:17:57,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.4
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.9
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.1
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.1
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.9
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.0
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.0
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.8
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.7
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.4
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.5
2026-04-24 18:17:58,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.9
2026-04-24 18:17:59,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.7
2026-04-24 18:17:59,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.8
2026-04-24 18:17:59,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.6
2026-04-24 18:17:59,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.7
2026-04-24 18:17:59,TWO_FINGERS,OPEN_PALM,0.88,HOVER,HOVER,11.5
2026-04-24 18:17:59,UNKNOWN,OPEN_PALM,0.75,HOVER,HOVER,10.9
2026-04-24 18:17:59,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,11.0
2026-04-24 18:17:59,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,11.1
2026-04-24 18:17:59,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,11.0
2026-04-24 18:17:59,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,10.5
2026-04-24 18:18:00,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,10.5
2026-04-24 18:18:00,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,10.0
